หมวดหมู่หลัก (TH),หมวดหมู่หลัก (CN),หมวดหมู่ย่อย (TH),หมวดหมู่ย่อย (CN),กลุ่มสินค้า (TH),ชื่อสินค้า (TH),ชื่อสินค้า (CN),SKU,Slug (รหัสสินค้า),โฟลเดอร์ที่ต้องวางรูป
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด มาตรฐานจีน 6*3*50,国标丝杆6*3*50,SG-GB-6-3-50,01-01-01-002,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-002/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์ 8*3*25,镀锌丝杆8*3*25(29斤）,SG-DX-8-3-25,01-01-01-003,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-003/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์ มาตรฐานจีน 8*3*25,镀锌丝杆8*3*25 国标38斤( 8 * 3 * 25 ),SG-DXGB-8-3-25,01-01-01-004,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-004/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์  10*3*20,镀锌丝杆10*3*20（42斤）,SG-DX-10-3-20,01-01-01-005,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-005/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์ มาตรฐานจีน 10*3*20,镀锌丝杆10*3*20 国标( 10 * 3 * 20 ),SG-DXGB-10-3-20,01-01-01-006,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-006/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์ มาตรฐานจีน 12*3*10,镀锌丝杆12*3*10 国标 38斤( 12 * 3 * 10 ),SG-DXGB-12-3-10,01-01-01-007,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-007/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด ชุบซิงค์ มาตรฐานจีน 14*3*10,镀锌丝杆14*3*10 国标 14 * 3 * 10,SG-DXGB-14-3-10,01-01-01-008,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-008/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด มาตรฐานจีน 16*3,国标丝杆16*3（8支/捆） 16*3 (8 /),SG-GB-16-3,01-01-01-009,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-009/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด สแตนเลส 304 8*3,304不锈钢丝杆8*3 304 8*3,SG-304BXG-8-3BXG,01-01-01-010,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-010/
อุปกรณ์ยึดติด / สกรู น็อต พุก,紧固件,สตัดเกลียวเต็มเส้น,全牙丝杆,สตัดเกลียวตลอด,สตัดเกลียวตลอด สแตนเลส 201 10*3,201不锈钢丝杆10*3 201 10*3,SG-201BXG-10-3BXG,01-01-01-011,public/products/01-jin-gu-jian/01-01-quan-ya-si-gan/01-01-01-quan-ya-si-gan/01-01-01-011/
